company,week_start,orders,canceled,total_qty,gmv_idr,cod_orders,jubelio_shipment_orders,orders_shopee,orders_tokopedia,orders_lazada,orders_other
Company_C,2025-07-28,25847,1058,50705,1263380707,14556,0,15986,9389,460,12
Company_C,2025-08-04,28675,1105,56220,1375134219,15804,0,17629,10474,562,10
Company_C,2025-08-11,25653,1184,48289,1156496177,15608,0,13557,11633,449,14
Company_C,2025-08-18,32590,1384,61461,1484228486,21370,0,14662,17383,515,30
Company_C,2025-08-25,44720,1505,83348,1987454028,28626,0,18947,25248,510,15
Company_C,2025-09-01,31991,1466,60198,1492290628,18811,0,18239,13311,425,16
Company_C,2025-09-08,41920,1447,78836,1851482905,25300,0,21673,19667,568,12
Company_C,2025-09-15,33904,1084,61674,1552320209,22271,0,14071,19398,413,22
Company_C,2025-09-22,55383,1023,104686,2567148080,34557,0,24794,29904,669,16
Company_C,2025-09-29,32698,1204,62134,1605904606,18694,0,18061,14244,365,28
Company_C,2025-10-06,31450,1139,60464,1554441853,16216,0,20756,10296,393,5
Company_C,2025-10-13,21529,878,41396,1079596203,12356,0,14063,7134,314,18
Company_C,2025-10-20,26629,1083,50750,1273966862,15074,0,17261,8996,360,12
Company_C,2025-10-27,31487,1324,59511,1508066337,18226,0,19074,12009,393,11
Company_C,2025-11-03,34851,1295,64214,1587544262,20503,0,19969,14503,371,8
Company_C,2025-11-10,44085,1386,80001,2003694995,25789,0,23841,19812,420,12
Company_C,2025-11-17,38634,947,68581,1747676400,24122,0,22037,16198,374,25
Company_C,2025-11-24,41383,1041,74255,1906077994,23185,0,27056,13805,504,18
Company_C,2025-12-01,35974,1394,66150,1727191066,19204,0,23989,11625,348,12
Company_C,2025-12-08,43880,1589,82196,2121656770,21310,0,31527,11806,541,6
Company_C,2025-12-15,27419,1002,51507,1351261979,15810,0,16729,10445,235,10
Company_C,2025-12-22,34119,1029,59787,1599330885,19931,0,18716,15112,279,12
Company_C,2025-12-29,23476,522,41252,1113207279,12567,0,15481,7793,198,4
Company_H,2024-01-01,23142,939,32241,5774074169,6894,0,8899,12664,0,1579
Company_H,2024-01-08,19190,805,25282,4645219713,5607,0,6958,10828,0,1404
Company_H,2024-01-15,17137,440,22472,4438749893,4317,0,6441,9317,0,1379
Company_H,2024-01-22,14866,250,19738,4169165685,2678,0,5784,7684,0,1398
Company_H,2024-01-29,18158,323,25990,4972021826,3245,0,7397,9015,0,1746
Company_H,2024-02-05,13772,184,19384,3806050937,2301,0,5470,6540,0,1762
Company_H,2024-02-12,11718,139,16113,3414335829,1676,0,4562,5455,0,1701
Company_H,2024-02-19,11144,154,15890,3421359440,1421,0,4222,5382,7,1533
Company_H,2024-02-26,14199,318,21156,4229423054,2131,0,5890,6737,19,1553
Company_H,2024-03-04,12754,357,17756,3727106465,2089,0,4925,6213,35,1581
Company_H,2024-03-11,13495,403,18061,3855722652,2381,0,5126,6721,30,1618
Company_H,2024-03-18,13492,451,18695,3772766566,2461,0,5349,6673,21,1449
Company_H,2024-03-25,18066,621,24073,4654526662,3297,0,7102,9162,19,1783
Company_H,2024-04-01,16208,679,23766,4340306775,3334,0,6626,7346,48,2188
Company_H,2024-04-08,1978,2,2983,728365400,0,0,0,112,27,1839
Company_H,2024-04-15,12396,446,20146,3666130939,2534,0,4557,6020,31,1788
Company_H,2024-04-22,14665,499,23674,4119954237,2966,0,6198,6809,42,1616
Company_H,2024-04-29,16261,514,24032,4176956306,3038,0,7378,7048,32,1803
Company_H,2024-05-06,14008,383,24318,3940075107,2573,0,6009,6078,48,1873
Company_H,2024-05-13,13794,471,20906,3711402190,2631,0,5329,6807,30,1628
Company_H,2024-05-20,14100,537,20180,3700452642,2784,0,5379,6846,36,1839
Company_H,2024-05-27,12815,438,16858,3340090497,2059,0,4945,6218,47,1605
Company_H,2024-06-03,12736,582,17544,3487351281,1925,0,5955,5103,57,1621
Company_H,2024-06-10,11800,449,17418,3397685674,1917,0,4598,5410,66,1726
Company_H,2024-06-17,12922,544,16599,3368351562,2301,0,4750,6388,66,1718
Company_H,2024-06-24,15331,510,20206,4047126409,2671,0,5585,8034,56,1656
Company_H,2024-07-01,15947,389,20937,4129591359,2570,0,6776,7447,43,1681
Company_H,2024-07-08,14302,436,20911,3842276204,2672,0,6031,6624,56,1591
Company_H,2024-07-15,14430,394,19844,3802474042,2606,0,5958,6830,68,1574
Company_H,2024-07-22,18445,460,25284,4878238339,2985,0,8056,8497,80,1812
Company_H,2024-07-29,17612,406,23283,4441178278,2707,0,7233,8486,94,1799
Company_H,2024-08-05,19375,443,26501,4702019638,2768,0,9063,8537,84,1691
Company_H,2024-08-12,15200,318,20463,3767426868,2154,0,6706,6757,76,1661
Company_H,2024-08-19,14489,296,18999,3647568292,2016,0,6778,6032,65,1614
Company_H,2024-08-26,14610,288,19684,3760995093,2183,0,6938,6009,63,1600
Company_H,2024-09-02,14966,315,21097,3763465577,2173,0,6611,6655,91,1609
Company_H,2024-09-09,16614,316,23308,4125324440,2493,0,7623,7201,98,1692
Company_H,2024-09-16,15573,293,19457,3714036366,2805,0,6437,7414,93,1629
Company_H,2024-09-23,17701,388,21041,4106947311,3220,0,7839,8199,43,1620
Company_H,2024-09-30,17517,421,21876,4352604231,3224,0,8705,7070,46,1696
Company_H,2024-10-07,15250,236,18521,3815814367,2521,0,8080,5527,81,1562
Company_H,2024-10-14,12829,237,15173,3241609111,2495,0,6057,5323,84,1365
Company_H,2024-10-21,15011,328,17684,3896405099,2830,0,6618,6917,69,1407
Company_H,2024-10-28,16603,431,19649,4191089289,2846,0,7333,7669,63,1538
Company_H,2024-11-04,14439,413,17619,3779794453,2260,0,6043,6734,65,1597
Company_H,2024-11-11,14294,388,18154,3853730670,2232,0,6390,6326,82,1496
Company_H,2024-11-18,12315,354,14718,3169806260,2099,0,5426,5490,73,1326
Company_H,2024-11-25,16762,733,23324,5085380839,2960,0,7381,7864,63,1454
Company_H,2024-12-02,16677,889,19965,4119311605,3348,0,7327,7877,57,1416
Company_H,2024-12-09,18823,1029,22453,4493048284,3674,0,8820,8478,86,1439
Company_H,2024-12-16,13239,671,18144,3992339892,2302,0,5370,6317,59,1493
Company_H,2024-12-23,22184,1203,26356,4985589024,4666,0,10152,10098,119,1815
Company_H,2024-12-30,15337,702,18771,3732429255,2748,0,6608,7078,75,1576
Company_H,2025-01-06,12277,620,15079,3008396514,2238,0,4670,6284,65,1258
Company_H,2025-01-13,10897,536,13850,2994790880,2024,0,4222,5311,74,1290
Company_H,2025-01-20,10585,510,13582,2953767391,1751,0,4187,5046,56,1296
Company_H,2025-01-27,13720,620,16761,3618874806,2389,0,5895,6194,57,1574
Company_H,2025-02-03,12860,928,15774,3533759153,2171,0,4567,6623,66,1604
Company_H,2025-02-10,13223,1476,16873,3838900132,1960,0,4255,7268,61,1639
Company_H,2025-02-17,11330,1181,14802,3418884604,1498,0,3745,6106,39,1440
Company_H,2025-02-24,13896,1374,16985,3752770605,2053,0,5397,6954,67,1478
Company_H,2025-03-03,14555,1517,17844,3611176413,2493,0,5626,7427,98,1404
Company_H,2025-03-10,12593,1224,15796,3359119040,2267,0,4607,6676,55,1255
Company_H,2025-03-17,12467,1271,15328,3422879443,1967,9,4575,6361,72,1459
Company_H,2025-03-24,11544,1177,14876,3366038969,2237,2,4666,4944,59,1875
Company_H,2025-03-31,13843,1435,16877,3725543726,3129,7,5089,6922,52,1780
Company_H,2025-04-07,17267,2060,22053,4955532854,3372,3,5841,9123,75,2228
Company_H,2025-04-14,17860,2238,22108,4671492868,4548,2,5709,10100,58,1993
Company_H,2025-04-21,18719,2422,22237,4397757992,5177,2,5789,11148,111,1671
Company_H,2025-04-28,19897,2537,23744,4766295715,5498,1,5447,12645,95,1710
Company_H,2025-05-05,19696,2425,23477,4592759408,5895,3,5651,12261,165,1619
Company_H,2025-05-12,14761,1928,17699,3600048615,4113,0,4111,8991,74,1585
Company_H,2025-05-19,14004,1821,16670,3505952437,3527,0,4028,8465,68,1443
Company_H,2025-05-26,15022,1856,18652,3920579170,3752,3,3812,9458,75,1677
Company_H,2025-06-02,16171,1909,19279,3936913971,3622,0,5058,9413,105,1595
Company_H,2025-06-09,13250,1657,15786,3343802206,3220,1,4185,7531,63,1471
Company_H,2025-06-16,10833,1322,13496,3018907124,2168,0,3816,5552,60,1405
Company_H,2025-06-23,12398,1428,15115,3360819021,2535,1,4586,6154,59,1599
Company_H,2025-06-30,13017,1525,16414,3454710241,2605,2,4573,6755,72,1617
Company_H,2025-07-07,11769,1235,14876,3395391779,2066,0,4617,5560,70,1522
Company_H,2025-07-14,10039,1036,12673,3068714657,1796,1,3753,4848,43,1395
Company_H,2025-07-21,10068,1047,33853,6163400789,1628,0,4003,4602,42,1421
Company_H,2025-07-28,11003,1082,13669,3449615282,1784,0,4374,5010,54,1565
Company_H,2025-08-04,12688,1186,16070,3558745323,1981,0,5428,5649,71,1540
Company_H,2025-08-11,10610,998,12840,2929953124,2082,0,3842,5289,72,1407
Company_H,2025-08-18,10962,1659,13739,3425441321,2358,0,3781,5738,65,1378
Company_H,2025-08-25,15847,1345,18834,4074799203,3014,0,4762,9493,67,1525
Company_H,2025-09-01,13116,1181,16384,3768153266,2602,0,4686,7030,48,1352
